epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3950.91,1.03429,0.5163,0.93476,0.9959,0.96462,0.98696,0.73148,0.9995,0.4595,0.91828,0.000742625,0.000742625,0.000742625
43,4050.74,1.01409,0.5131,0.92983,0.98618,0.97534,0.98803,0.72226,0.99994,0.45963,0.92341,0.00073025,0.00073025,0.00073025
44,4149.38,1.01112,0.51581,0.93093,0.98714,0.97701,0.99007,0.72739,1.00086,0.46169,0.92197,0.000717875,0.000717875,0.000717875
45,4246.55,1.00996,0.50455,0.93139,0.99067,0.98129,0.99229,0.73724,0.98755,0.45205,0.91993,0.0007055,0.0007055,0.0007055
46,4343.32,1.01261,0.50818,0.9321,0.99269,0.97376,0.9918,0.73014,0.9876,0.4533,0.91635,0.000693125,0.000693125,0.000693125
47,4441.18,0.99886,0.50624,0.92259,0.9947,0.97255,0.99304,0.73488,0.97978,0.45118,0.91286,0.00068075,0.00068075,0.00068075
48,4538.48,1.00324,0.50723,0.93025,0.99383,0.98352,0.994,0.73726,0.98533,0.4495,0.91624,0.000668375,0.000668375,0.000668375
49,4643.62,0.9935,0.49643,0.92704,0.99162,0.97875,0.99329,0.73706,0.97103,0.44269,0.91171,0.000656,0.000656,0.000656
50,4743.33,0.99866,0.50039,0.92262,0.98946,0.97714,0.99178,0.73651,0.9721,0.44394,0.91442,0.000643625,0.000643625,0.000643625
51,4839.96,0.97721,0.49373,0.92494,0.99301,0.97195,0.99233,0.74163,0.96838,0.43846,0.91454,0.00063125,0.00063125,0.00063125
52,4937.69,0.97863,0.48759,0.92096,0.98675,0.98053,0.99111,0.7423,0.95723,0.43852,0.90985,0.000618875,0.000618875,0.000618875
53,5034.75,0.97613,0.48988,0.92026,0.99528,0.97129,0.9908,0.7441,0.9654,0.43429,0.91096,0.0006065,0.0006065,0.0006065
54,5132.01,0.96504,0.48074,0.91784,0.98414,0.98254,0.99246,0.74528,0.9641,0.42794,0.9111,0.000594125,0.000594125,0.000594125
55,5229.78,0.96658,0.48298,0.91996,0.98888,0.98319,0.99273,0.7467,0.95686,0.43215,0.91166,0.00058175,0.00058175,0.00058175
56,5327.2,0.96225,0.47894,0.91566,0.99398,0.97752,0.99247,0.74755,0.95335,0.43149,0.90897,0.000569375,0.000569375,0.000569375
57,5427.91,0.95042,0.4688,0.90586,0.99037,0.9818,0.99356,0.75555,0.9564,0.43143,0.9087,0.000557,0.000557,0.000557
58,5528.1,0.95784,0.47141,0.91511,0.98936,0.98033,0.99256,0.75297,0.94572,0.42416,0.90514,0.000544625,0.000544625,0.000544625
59,5627.19,0.95295,0.47219,0.91195,0.98921,0.98323,0.99261,0.75046,0.94691,0.42149,0.90596,0.00053225,0.00053225,0.00053225
60,5724.73,0.93651,0.45835,0.90846,0.99446,0.97473,0.99392,0.75543,0.94356,0.42337,0.90384,0.000519875,0.000519875,0.000519875
61,5822.72,0.95846,0.4677,0.91735,0.98736,0.98659,0.99417,0.75499,0.94489,0.4219,0.90467,0.0005075,0.0005075,0.0005075
62,5922.48,0.93874,0.46384,0.91289,0.9843,0.98316,0.99317,0.75494,0.94717,0.42091,0.90649,0.000495125,0.000495125,0.000495125
63,6025.02,0.93304,0.45879,0.90955,0.99409,0.97851,0.99335,0.75626,0.94528,0.41917,0.9045,0.00048275,0.00048275,0.00048275
64,6128.32,0.93577,0.4575,0.90917,0.99343,0.98203,0.99346,0.75741,0.94215,0.41268,0.90482,0.000470375,0.000470375,0.000470375
65,6228.83,0.92098,0.45373,0.90462,0.99287,0.98313,0.99419,0.76029,0.93676,0.4151,0.90262,0.000458,0.000458,0.000458
66,6330.19,0.92581,0.45092,0.9057,0.99628,0.97798,0.99371,0.75954,0.93715,0.41266,0.90294,0.000445625,0.000445625,0.000445625
67,6433.36,0.91284,0.44719,0.90358,0.98862,0.98487,0.99334,0.7576,0.93281,0.41191,0.90328,0.00043325,0.00043325,0.00043325
68,6529.1,0.91905,0.44717,0.90681,0.98555,0.9882,0.99349,0.75918,0.93819,0.40932,0.90316,0.000420875,0.000420875,0.000420875
69,6624.37,0.91066,0.44501,0.90315,0.99004,0.98303,0.99391,0.7605,0.93292,0.40887,0.90174,0.0004085,0.0004085,0.0004085
70,6719.41,0.90603,0.44006,0.90057,0.9947,0.97989,0.99372,0.76148,0.93213,0.40562,0.89899,0.000396125,0.000396125,0.000396125
71,6817.95,0.90404,0.44375,0.89841,0.98708,0.98679,0.99391,0.76152,0.92526,0.40431,0.89727,0.00038375,0.00038375,0.00038375
72,6919.38,0.90565,0.44027,0.90307,0.98919,0.98397,0.99336,0.76325,0.92325,0.40344,0.89845,0.000371375,0.000371375,0.000371375
73,7023.33,0.89929,0.43737,0.8966,0.98687,0.98987,0.99437,0.76698,0.92411,0.40292,0.89711,0.000359,0.000359,0.000359
74,7124.55,0.90175,0.43637,0.89682,0.9962,0.97975,0.99382,0.76946,0.92126,0.40298,0.89655,0.000346625,0.000346625,0.000346625
75,7227.21,0.88605,0.43527,0.89986,0.99507,0.98538,0.99394,0.76507,0.92071,0.40102,0.89717,0.00033425,0.00033425,0.00033425
76,7328.47,0.89622,0.4353,0.89723,0.99333,0.98496,0.99398,0.76545,0.91999,0.39749,0.89705,0.000321875,0.000321875,0.000321875
77,7433.89,0.88032,0.42814,0.89212,0.99306,0.98594,0.99407,0.7655,0.92177,0.39921,0.89815,0.0003095,0.0003095,0.0003095
78,7540.3,0.87535,0.42465,0.89244,0.99395,0.98898,0.99428,0.76357,0.91761,0.39657,0.89556,0.000297125,0.000297125,0.000297125
79,7643.28,0.86843,0.42163,0.8948,0.99081,0.98786,0.99399,0.76963,0.92027,0.39467,0.89736,0.00028475,0.00028475,0.00028475
80,7744.9,0.87216,0.42278,0.8896,0.99442,0.98416,0.9942,0.76811,0.91833,0.39512,0.89757,0.000272375,0.000272375,0.000272375
81,7847.2,0.85606,0.41428,0.89152,0.99337,0.98482,0.99377,0.77099,0.91579,0.39302,0.89783,0.00026,0.00026,0.00026
82,7944.32,0.86402,0.41485,0.88618,0.99497,0.98289,0.99371,0.76914,0.91728,0.39373,0.89789,0.000247625,0.000247625,0.000247625
83,8041.3,0.85677,0.4146,0.89065,0.99446,0.98265,0.99363,0.77263,0.91408,0.3924,0.89641,0.00023525,0.00023525,0.00023525
84,8140.07,0.85229,0.4121,0.89093,0.98909,0.98769,0.9939,0.77174,0.91294,0.39218,0.89669,0.000222875,0.000222875,0.000222875
85,8238.68,0.85123,0.41127,0.88771,0.98974,0.99106,0.99421,0.77077,0.91432,0.39229,0.89613,0.0002105,0.0002105,0.0002105
86,8333.69,0.83971,0.40577,0.88487,0.98888,0.98871,0.99363,0.77237,0.91059,0.3908,0.8951,0.000198125,0.000198125,0.000198125
87,8427.68,0.84487,0.40451,0.88243,0.99371,0.98277,0.99345,0.77281,0.90936,0.38815,0.89441,0.00018575,0.00018575,0.00018575
88,8529.76,0.84591,0.40101,0.8833,0.99477,0.9847,0.99378,0.77254,0.91024,0.38991,0.89565,0.000173375,0.000173375,0.000173375
89,8629.93,0.84579,0.40541,0.88679,0.99186,0.98531,0.99369,0.77267,0.91004,0.38766,0.89601,0.000161,0.000161,0.000161
90,8726.78,0.84077,0.40096,0.88655,0.99356,0.98534,0.99378,0.7729,0.90891,0.38745,0.89528,0.000148625,0.000148625,0.000148625
91,8866.55,0.80261,0.36573,0.87066,0.99104,0.98956,0.99426,0.77036,0.90893,0.38709,0.896,0.00013625,0.00013625,0.00013625
