# Started 2025-06-23 22:34:42.456016
0.000099,-0.56
0.401105,1.48
0.405706,600.00
0.405998,872.09
0.406284,1086.96
0.409601,1250.00
0.409906,1388.89
0.410194,1630.43
0.413588,1807.23
0.413881,1851.85
0.414166,2054.79
0.417570,2205.88
0.417837,2380.95
0.418177,2631.58
0.418474,2884.62
0.421715,3061.22
0.425642,3846.15
0.425957,3750.00
0.426255,4166.67
0.430263,4411.76
0.430542,4411.76
0.430800,4687.50
0.433980,4838.71
0.434286,5000.00
0.434573,5000.00
0.438255,5357.14
0.438573,5172.41
0.442066,5357.14
0.442469,5555.56
0.442773,5769.23
0.446674,5555.56
0.447090,6250.00
0.450946,5769.23
0.451203,5769.23
0.451459,5769.23
0.454683,5769.23
0.454973,5769.23
0.455268,5769.23
0.458903,5555.56
0.462566,5555.56
0.462842,5555.56
0.463211,5769.23
0.466528,5769.23
0.466812,5555.56
0.467076,5555.56
0.471290,6000.00
0.471581,5555.56
0.475051,5555.56
0.475348,5769.23
0.475645,5555.56
0.478996,5555.56
0.479581,5769.23
0.483117,5357.14
0.483407,5555.56
0.483693,5357.14
0.487677,5555.56
0.487980,5172.41
0.488276,5555.56
0.491959,5357.14
0.495528,5555.56
0.495759,5357.14
0.496041,5555.56
0.496319,5357.14
0.499681,5555.56
0.499921,5555.56
0.503817,5357.14
0.504091,5357.14
0.507576,5172.41
0.507860,5555.56
0.508123,5357.14
0.511655,5357.14
0.511988,5172.41
0.516103,5357.14
0.516408,5357.14
0.516761,5172.41
0.520021,5357.14
0.520282,5172.41
0.520499,5172.41
0.523998,5172.41
0.527946,5172.41
0.528235,5172.41
0.528452,5172.41
0.528657,5357.14
0.532666,5172.41
0.532970,5172.41
0.533297,5172.41
0.536961,5000.00
0.540553,5172.41
0.541130,5000.00
0.541463,5172.41
0.544514,5172.41
0.544755,5000.00
0.545011,5172.41
0.548780,5357.14
0.549066,5172.41
0.552605,5555.56
0.552882,5555.56
0.553147,5555.56
0.556990,5555.56
0.557291,5769.23
0.561081,5769.23
0.561378,6250.00
0.561624,5555.56
0.565038,6000.00
0.565285,5769.23
0.565582,5769.23
0.569286,6000.00
0.573527,6000.00
0.573758,5769.23
0.573974,6000.00
0.574210,6521.74
0.577685,6250.00
0.581699,6250.00
0.582011,6000.00
0.582304,6000.00
0.585566,6000.00
0.585805,6000.00
0.586072,6000.00
0.589902,6250.00
0.590149,6000.00
0.593674,6521.74
0.593925,5769.23
0.594163,6000.00
0.598064,6000.00
0.601976,5769.23
0.602274,6250.00
0.602558,6250.00
0.605912,6250.00
0.606191,6250.00
0.610045,6000.00
0.610290,6521.74
0.610510,6000.00
0.614018,6250.00
0.614299,6250.00
0.614573,6250.00
0.618993,6000.00
0.619376,6818.18
0.622660,6250.00
0.622950,6250.00
0.623201,6250.00
0.626642,6250.00
0.630581,6250.00
0.630867,6250.00
0.631097,6521.74
0.634532,6000.00
0.634779,6250.00
0.638638,6000.00
0.638889,6521.74
0.639178,6000.00
0.643097,6000.00
0.643377,6000.00
0.643692,6250.00
0.647391,6250.00
0.650916,6000.00
0.651245,6521.74
0.651523,6250.00
0.651824,6000.00
0.655084,6521.74
0.659576,6250.00
0.659826,6250.00
0.660055,6250.00
0.663553,6250.00
0.663817,6521.74
0.664088,6250.00
0.667886,6250.00
0.668129,6000.00
0.671650,6250.00
0.671921,6818.18
0.672153,6250.00
0.675876,6250.00
0.679538,6521.74
0.679811,6521.74
0.680137,6250.00
0.680393,6250.00
0.684084,6250.00
0.688092,6521.74
0.688420,6250.00
0.688732,6250.00
0.691992,6250.00
0.692331,6250.00
0.696260,6250.00
0.696537,6521.74
0.696830,6250.00
0.700642,6521.74
0.700917,6250.00
0.701391,6250.00
0.705153,6521.74
0.708608,6250.00
0.708934,6250.00
0.709211,6250.00
0.709779,6250.00
0.712665,6000.00
0.716613,6521.74
0.716859,6250.00
0.717085,6521.74
0.720612,6250.00
0.720982,6250.00
0.725152,6250.00
0.725441,6250.00
0.725729,6250.00
0.729067,6250.00
0.729311,6250.00
0.729576,6250.00
0.733413,6250.00
0.736993,6250.00
0.737291,6000.00
0.737592,6521.74
0.740944,6250.00
0.741249,6000.00
0.745665,6818.18
0.745950,6250.00
0.746222,6250.00
0.749615,6250.00
0.749872,6250.00
0.753709,6250.00
0.753973,6250.00
0.754263,6250.00
0.757702,6521.74
0.757999,6000.00
0.758288,6250.00
0.762262,6250.00
0.765600,6250.00
0.765892,6250.00
0.766171,6818.18
0.769969,6250.00
0.770210,6250.00
0.774061,6250.00
0.774357,6521.74
0.774658,6250.00
0.778072,6250.00
0.778335,6521.74
0.782140,10000.00
0.786683,6521.74
0.786967,6818.18
0.787233,6250.00
0.790932,6250.00
0.794579,6250.00
0.794856,6000.00
0.795090,6250.00
0.798546,6250.00
0.798791,6250.00
0.802673,6000.00
0.806608,6521.74
0.806904,6521.74
0.807174,6000.00
0.811274,6000.00
0.811551,6000.00
0.815107,6000.00
0.815387,6250.00
0.815663,6000.00
0.819039,5555.56
0.823013,6000.00
0.823275,6000.00
0.823537,6000.00
0.826965,5555.56
0.827217,6000.00
0.827435,5769.23
0.831879,5769.23
0.832111,6000.00
0.835640,5555.56
0.836079,6000.00
0.836352,5769.23
0.839610,6250.00
0.843493,5555.56
0.843775,5769.23
0.844059,5769.23
0.844305,5769.23
0.847660,5555.56
0.847967,5769.23
0.851795,5555.56
0.852164,5555.56
0.855979,5555.56
0.856272,5555.56
0.856540,6000.00
0.859921,5555.56
0.860184,5555.56
0.864064,5172.41
0.864359,5555.56
0.864633,5555.56
0.868058,5769.23
0.868346,5555.56
0.868604,5769.23
0.873068,5357.14
0.873416,5555.56
0.876697,5555.56
0.876984,5357.14
0.877252,5357.14
0.880659,5357.14
0.880945,5555.56
0.884772,5555.56
0.885040,5555.56
0.888536,5357.14
0.888780,5357.14
0.889109,5357.14
0.889373,5357.14
0.892687,5000.00
0.897064,5357.14
0.897350,5555.56
0.897641,5172.41
0.900986,5172.41
0.901273,5357.14
0.901545,5357.14
0.904965,4838.71
