epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3993,3.28132,12.341,2.22545,0.80142,0.03093,0.21774,0.12295,2.77715,10.0938,2.09074,0.000412458,0.000412458,0.000412458
2,107.356,3.14845,6.99627,2.20671,0.57645,0.29756,0.32275,0.17051,3.29644,4.62992,2.38287,0.000820916,0.000820916,0.000820916
3,160.41,3.22353,3.72768,2.25698,0.6364,0.49277,0.57309,0.29138,3.35344,4.67086,2.4464,0.00122112,0.00122112,0.00122112
4,217.082,3.19754,2.55207,2.2589,0.64624,0.55531,0.61311,0.35117,3.03935,4.18901,2.32276,0.00121287,0.00121287,0.00121287
5,269.467,3.09358,2.12911,2.203,0.79905,0.72787,0.80314,0.45964,2.99505,2.92376,2.24417,0.0012005,0.0012005,0.0012005
6,323.12,3.01131,1.88753,2.16816,0.76359,0.72334,0.82105,0.47491,2.92764,1.96111,2.24397,0.00118812,0.00118812,0.00118812
7,373.256,2.94204,1.75983,2.1267,0.84632,0.84634,0.91189,0.51465,2.94863,1.56666,2.20113,0.00117575,0.00117575,0.00117575
