epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2051,1.60903,3.04131,1.14361,0.83274,0.76608,0.83526,0.47577,1.45474,1.55055,1.13037,0.000415612,0.000415612,0.000415612
2,145.946,1.53355,1.50547,1.13091,0.87704,0.75643,0.86137,0.47999,1.45469,1.22322,1.15362,0.000824039,0.000824039,0.000824039
3,202.739,1.50906,1.13579,1.1201,0.91046,0.83505,0.90626,0.52782,1.40175,0.92839,1.10424,0.00122422,0.00122422,0.00122422
4,261.805,1.47979,1.00418,1.10715,0.9031,0.82831,0.90975,0.52517,1.42105,0.90298,1.09457,0.00121287,0.00121287,0.00121287
