epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2241.56,1.01465,0.51368,0.92968,0.98633,0.97882,0.99157,0.72702,0.99792,0.46114,0.92871,0.000742625,0.000742625,0.000742625
43,2293.69,1.00806,0.5077,0.92312,0.98467,0.98201,0.98979,0.72264,0.99082,0.46401,0.92261,0.00073025,0.00073025,0.00073025
44,2345.43,1.0073,0.50353,0.93062,0.98523,0.97164,0.98665,0.73034,0.9939,0.4601,0.92433,0.000717875,0.000717875,0.000717875
45,2397.97,1.00894,0.49973,0.92871,0.99193,0.97135,0.98808,0.73534,0.98508,0.45279,0.92486,0.0007055,0.0007055,0.0007055
46,2450.78,1.00747,0.50162,0.92892,0.98358,0.98058,0.99105,0.73333,0.97928,0.44785,0.92319,0.000693125,0.000693125,0.000693125
47,2506.53,0.99612,0.49892,0.92294,0.99171,0.96989,0.99123,0.73482,0.9813,0.44456,0.91923,0.00068075,0.00068075,0.00068075
48,2559.69,0.98779,0.4916,0.91868,0.98649,0.9758,0.99234,0.7378,0.98369,0.44546,0.92436,0.000668375,0.000668375,0.000668375
49,2611.18,0.97565,0.48783,0.92051,0.99383,0.97146,0.99054,0.73428,0.97622,0.44134,0.91881,0.000656,0.000656,0.000656
50,2662.51,0.96936,0.48295,0.91874,0.98453,0.97963,0.99181,0.73894,0.96946,0.4389,0.92068,0.000643625,0.000643625,0.000643625
51,2714.16,0.98756,0.48877,0.92325,0.98815,0.97577,0.99247,0.73886,0.96257,0.43306,0.91549,0.00063125,0.00063125,0.00063125
52,2765.71,0.96939,0.48482,0.91511,0.9816,0.98359,0.99347,0.73874,0.96717,0.43493,0.91867,0.000618875,0.000618875,0.000618875
53,2818.44,0.96253,0.48208,0.921,0.99052,0.97873,0.9926,0.74355,0.96586,0.43389,0.91718,0.0006065,0.0006065,0.0006065
54,2871.32,0.95116,0.47584,0.91037,0.9902,0.9769,0.99332,0.73876,0.97203,0.43461,0.91724,0.000594125,0.000594125,0.000594125
55,2924.12,0.95595,0.47137,0.91114,0.99168,0.97877,0.99231,0.74676,0.96702,0.42845,0.91734,0.00058175,0.00058175,0.00058175
56,2979.23,0.94441,0.46713,0.91156,0.99139,0.97505,0.99278,0.74664,0.96451,0.42666,0.91778,0.000569375,0.000569375,0.000569375
57,3033.6,0.94956,0.47006,0.90999,0.99225,0.9784,0.99195,0.74882,0.96648,0.42926,0.91755,0.000557,0.000557,0.000557
58,3087.74,0.94305,0.46255,0.91086,0.98633,0.98461,0.99092,0.75325,0.95598,0.42315,0.91311,0.000544625,0.000544625,0.000544625
59,3140.68,0.93198,0.46449,0.90942,0.98725,0.97682,0.99287,0.74679,0.95299,0.42313,0.9137,0.00053225,0.00053225,0.00053225
60,3195.1,0.92934,0.4554,0.9097,0.99603,0.97408,0.99219,0.75213,0.94999,0.42104,0.91323,0.000519875,0.000519875,0.000519875
61,3249.51,0.92767,0.45775,0.90535,0.98884,0.97577,0.99213,0.75451,0.95285,0.41988,0.91117,0.0005075,0.0005075,0.0005075
62,3305.15,0.92989,0.45562,0.90957,0.98622,0.98555,0.99327,0.7524,0.95395,0.41771,0.91445,0.000495125,0.000495125,0.000495125
63,3356.46,0.92609,0.45408,0.90404,0.99246,0.97561,0.9925,0.75085,0.94715,0.4186,0.91647,0.00048275,0.00048275,0.00048275
64,3409.69,0.92359,0.45115,0.90714,0.99398,0.98219,0.99358,0.75527,0.94362,0.41674,0.91289,0.000470375,0.000470375,0.000470375
65,3461.74,0.91424,0.45031,0.90088,0.99429,0.97956,0.99343,0.75538,0.94029,0.41345,0.91174,0.000458,0.000458,0.000458
66,3514.97,0.91061,0.44649,0.9017,0.99472,0.97766,0.99391,0.76098,0.94321,0.41056,0.91315,0.000445625,0.000445625,0.000445625
67,3569.6,0.90484,0.445,0.90201,0.98615,0.98246,0.99365,0.76104,0.92974,0.41062,0.90514,0.00043325,0.00043325,0.00043325
68,3623.13,0.90604,0.44353,0.90204,0.98952,0.98141,0.99308,0.75594,0.93662,0.40882,0.90912,0.000420875,0.000420875,0.000420875
69,3676.6,0.91209,0.44222,0.90176,0.99223,0.98255,0.99384,0.76578,0.93419,0.40308,0.90696,0.0004085,0.0004085,0.0004085
70,3728.32,0.8963,0.44037,0.89538,0.99393,0.98054,0.99345,0.76449,0.93139,0.40321,0.90422,0.000396125,0.000396125,0.000396125
71,3780.28,0.89685,0.43509,0.90082,0.98794,0.98391,0.99373,0.76167,0.93218,0.40467,0.9068,0.00038375,0.00038375,0.00038375
72,3833.45,0.89107,0.43136,0.89373,0.99286,0.98323,0.99366,0.76483,0.93301,0.40456,0.90828,0.000371375,0.000371375,0.000371375
73,3887.31,0.89216,0.4357,0.89653,0.99547,0.97572,0.99329,0.76082,0.93289,0.40182,0.90722,0.000359,0.000359,0.000359
