RPM: 1.05, FOR LINE: 4
RPM: 13.80, FOR LINE: 5
RPM: 104.82, FOR LINE: 6
RPM: 136.76, FOR LINE: 7
RPM: 109.91, FOR LINE: 8
RPM: 115.10, FOR LINE: 9
RPM: 116.99, FOR LINE: 10
RPM: 133.94, FOR LINE: 11
RPM: 117.32, FOR LINE: 12
RPM: 89.93, FOR LINE: 13
RPM: 124.63, FOR LINE: 14
RPM: 3.89, FOR LINE: 15
RPM: 48.16, FOR LINE: 16
RPM: 138.50, FOR LINE: 17
RPM: 108.62, FOR LINE: 18
RPM: 117.07, FOR LINE: 19
RPM: 13.77, FOR LINE: 20
RPM: 4.42, FOR LINE: 21
RPM: 36.35, FOR LINE: 22
RPM: 133.69, FOR LINE: 23
RPM: 105.46, FOR LINE: 24
RPM: 120.71, FOR LINE: 25
RPM: 98.58, FOR LINE: 26
RPM: 104.06, FOR LINE: 27
RPM: 96.54, FOR LINE: 28
RPM: 95.75, FOR LINE: 29
RPM: 3.29, FOR LINE: 30
RPM: 9.88, FOR LINE: 31
RPM: 49.49, FOR LINE: 32
RPM: 90.86, FOR LINE: 33
RPM: 108.65, FOR LINE: 34
RPM: 131.58, FOR LINE: 35
RPM: 146.71, FOR LINE: 36
RPM: 142.69, FOR LINE: 37
RPM: 142.33, FOR LINE: 38
RPM: 188.32, FOR LINE: 39
RPM: 152.07, FOR LINE: 40
RPM: 144.93, FOR LINE: 41
RPM: 75.90, FOR LINE: 42
RPM: 174.03, FOR LINE: 43
RPM: 3.23, FOR LINE: 44
RPM: 47.78, FOR LINE: 45
RPM: 67.72, FOR LINE: 46
RPM: 66.98, FOR LINE: 47
RPM: 90.60, FOR LINE: 48
RPM: 110.99, FOR LINE: 49
RPM: 111.23, FOR LINE: 50
RPM: 126.55, FOR LINE: 51
RPM: 100.95, FOR LINE: 52
RPM: 176.12, FOR LINE: 53
RPM: 143.43, FOR LINE: 54
RPM: 111.38, FOR LINE: 55
RPM: 83.77, FOR LINE: 56
RPM: 3.52, FOR LINE: 57
RPM: 28.47, FOR LINE: 58
RPM: 119.33, FOR LINE: 59
RPM: 78.68, FOR LINE: 60
RPM: 85.63, FOR LINE: 61
RPM: 31.11, FOR LINE: 62
RPM: 89.85, FOR LINE: 63
RPM: 101.07, FOR LINE: 64
RPM: 99.62, FOR LINE: 65
RPM: 6.24, FOR LINE: 66
RPM: 9.59, FOR LINE: 67
RPM: 20.98, FOR LINE: 68
RPM: 82.89, FOR LINE: 69
RPM: 107.23, FOR LINE: 70
RPM: 133.12, FOR LINE: 71
RPM: 148.99, FOR LINE: 72
RPM: 135.94, FOR LINE: 73
RPM: 125.13, FOR LINE: 74
RPM: 145.60, FOR LINE: 75
RPM: 119.79, FOR LINE: 76
RPM: 116.25, FOR LINE: 77
RPM: 3.33, FOR LINE: 78
RPM: 58.69, FOR LINE: 79
RPM: 78.02, FOR LINE: 80
RPM: 86.99, FOR LINE: 81
RPM: 109.87, FOR LINE: 82
RPM: 147.54, FOR LINE: 83
RPM: 170.01, FOR LINE: 84
RPM: 216.08, FOR LINE: 85
RPM: 182.35, FOR LINE: 86
RPM: 234.96, FOR LINE: 87
RPM: 176.68, FOR LINE: 88
RPM: 163.83, FOR LINE: 89
RPM: 47.51, FOR LINE: 90
RPM: 3.93, FOR LINE: 91
RPM: 68.92, FOR LINE: 92
RPM: 118.65, FOR LINE: 93
RPM: 133.16, FOR LINE: 94
RPM: 178.70, FOR LINE: 95
RPM: 205.09, FOR LINE: 96
RPM: 227.48, FOR LINE: 97
RPM: 249.38, FOR LINE: 98
RPM: 251.38, FOR LINE: 99
RPM: 204.16, FOR LINE: 100
RPM: 202.84, FOR LINE: 101
RPM: 179.40, FOR LINE: 102
RPM: 142.69, FOR LINE: 103
RPM: 101.85, FOR LINE: 104
RPM: 27.40, FOR LINE: 105
