epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2327.82,1.09787,0.56549,0.94902,0.98675,0.96432,0.98524,0.70878,1.03607,0.49795,0.9308,0.000742625,0.000742625,0.000742625
43,2379.88,1.08391,0.55962,0.94328,0.98601,0.97357,0.9862,0.70211,1.03958,0.50184,0.93291,0.00073025,0.00073025,0.00073025
44,2431.87,1.07944,0.55524,0.94813,0.98435,0.98087,0.98695,0.70922,1.04347,0.49858,0.93883,0.000717875,0.000717875,0.000717875
45,2483.66,1.07935,0.55093,0.94856,0.98461,0.97573,0.98856,0.71291,1.0345,0.49675,0.93224,0.0007055,0.0007055,0.0007055
46,2535.48,1.08184,0.5512,0.94719,0.98841,0.97238,0.98687,0.7074,1.02728,0.48658,0.92732,0.000693125,0.000693125,0.000693125
47,2587.36,1.06622,0.54672,0.9375,0.98497,0.97614,0.98914,0.71769,1.02278,0.48867,0.92273,0.00068075,0.00068075,0.00068075
48,2639.1,1.07522,0.54248,0.94255,0.98321,0.97985,0.9907,0.72085,1.0217,0.47992,0.92549,0.000668375,0.000668375,0.000668375
49,2691.1,1.05968,0.54024,0.94069,0.98933,0.97339,0.98514,0.72031,1.01382,0.48177,0.92267,0.000656,0.000656,0.000656
50,2743.21,1.06732,0.54034,0.93709,0.98877,0.97384,0.9871,0.71971,1.00049,0.47484,0.92074,0.000643625,0.000643625,0.000643625
51,2794.69,1.0538,0.53974,0.93965,0.98768,0.97142,0.98847,0.72087,1.00956,0.47952,0.92351,0.00063125,0.00063125,0.00063125
52,2846.2,1.04625,0.53071,0.93345,0.9878,0.979,0.99166,0.72125,1.01149,0.47165,0.92421,0.000618875,0.000618875,0.000618875
53,2897.44,1.04649,0.53135,0.93321,0.98741,0.98056,0.99137,0.71983,1.01,0.47345,0.92007,0.0006065,0.0006065,0.0006065
54,2948.31,1.03462,0.52485,0.93165,0.98389,0.98088,0.99157,0.72591,1.00342,0.4675,0.91618,0.000594125,0.000594125,0.000594125
55,2999.42,1.03465,0.52546,0.93247,0.98534,0.97601,0.9898,0.72504,0.99483,0.4693,0.91568,0.00058175,0.00058175,0.00058175
56,3050.86,1.03727,0.52161,0.93277,0.97972,0.97671,0.9874,0.72888,0.99753,0.46809,0.91755,0.000569375,0.000569375,0.000569375
57,3102.4,1.01893,0.50877,0.9215,0.988,0.97986,0.98856,0.73175,1.00672,0.46197,0.91777,0.000557,0.000557,0.000557
58,3154.02,1.03073,0.51426,0.93023,0.9897,0.97662,0.99004,0.73828,0.99136,0.45754,0.91195,0.000544625,0.000544625,0.000544625
59,3205.46,1.01882,0.5122,0.92239,0.99289,0.97196,0.9899,0.72684,0.99526,0.45765,0.91194,0.00053225,0.00053225,0.00053225
60,3256.84,1.01535,0.50525,0.91988,0.98925,0.97627,0.98863,0.73298,0.99163,0.45206,0.91084,0.000519875,0.000519875,0.000519875
61,3308.26,1.02812,0.51364,0.92884,0.99341,0.9785,0.9894,0.72969,0.99041,0.45931,0.91422,0.0005075,0.0005075,0.0005075
62,3359.75,1.00823,0.50485,0.92702,0.98767,0.9804,0.99082,0.73605,0.98735,0.45268,0.91464,0.000495125,0.000495125,0.000495125
63,3411.2,1.01082,0.49718,0.92753,0.98328,0.98319,0.99203,0.73103,0.98862,0.45317,0.91443,0.00048275,0.00048275,0.00048275
64,3463.02,1.00942,0.50055,0.92411,0.98533,0.98727,0.99261,0.73801,0.98221,0.45032,0.91202,0.000470375,0.000470375,0.000470375
65,3514.48,0.99584,0.49503,0.91871,0.98779,0.98531,0.99063,0.73625,0.97536,0.45038,0.91113,0.000458,0.000458,0.000458
66,3566.13,1.00128,0.49312,0.92012,0.98893,0.98819,0.9923,0.73362,0.9858,0.45008,0.91512,0.000445625,0.000445625,0.000445625
67,3617.48,0.98766,0.48754,0.91753,0.98925,0.98089,0.98936,0.73384,0.97698,0.44531,0.91219,0.00043325,0.00043325,0.00043325
68,3668.84,0.9877,0.48967,0.91975,0.98806,0.98286,0.9889,0.7366,0.97446,0.444,0.91226,0.000420875,0.000420875,0.000420875
69,3720.04,0.98089,0.487,0.91853,0.98554,0.9851,0.98983,0.73362,0.97438,0.446,0.91148,0.0004085,0.0004085,0.0004085
70,3771.59,0.97334,0.48123,0.91646,0.99317,0.97605,0.99066,0.73894,0.9739,0.43627,0.9109,0.000396125,0.000396125,0.000396125
71,3822.73,0.98545,0.4875,0.9158,0.98698,0.98328,0.99095,0.741,0.97345,0.43824,0.91161,0.00038375,0.00038375,0.00038375
72,3874.19,0.98271,0.484,0.91937,0.99046,0.97628,0.99123,0.74346,0.96981,0.43756,0.91155,0.000371375,0.000371375,0.000371375
73,3925.6,0.97792,0.48129,0.91562,0.98619,0.98384,0.99024,0.74329,0.97178,0.4369,0.90949,0.000359,0.000359,0.000359
74,3977.01,0.97588,0.47707,0.91545,0.99269,0.98646,0.99335,0.74175,0.96815,0.43358,0.90924,0.000346625,0.000346625,0.000346625
75,4028.45,0.9659,0.47684,0.91391,0.98813,0.98542,0.99147,0.74101,0.9661,0.43413,0.90921,0.00033425,0.00033425,0.00033425
76,4084.75,0.97531,0.4777,0.91402,0.99145,0.9841,0.9899,0.73974,0.96559,0.43192,0.90821,0.000321875,0.000321875,0.000321875
77,4142.59,0.9565,0.47172,0.90736,0.98749,0.98466,0.99104,0.73934,0.96468,0.43297,0.90722,0.0003095,0.0003095,0.0003095
78,4198.43,0.95478,0.46896,0.90779,0.99381,0.97866,0.99208,0.74007,0.96208,0.42836,0.90715,0.000297125,0.000297125,0.000297125
79,4256.68,0.95416,0.46459,0.90748,0.99054,0.9797,0.99123,0.74091,0.96758,0.42971,0.90775,0.00028475,0.00028475,0.00028475
80,4312.17,0.94569,0.46677,0.90581,0.99086,0.98095,0.99069,0.74153,0.96489,0.42689,0.90691,0.000272375,0.000272375,0.000272375
81,4367.82,0.93864,0.45903,0.90712,0.99226,0.98012,0.99076,0.7457,0.95849,0.42395,0.90573,0.00026,0.00026,0.00026
82,4425.35,0.94608,0.45902,0.90219,0.99196,0.97935,0.99185,0.74278,0.95794,0.42383,0.90538,0.000247625,0.000247625,0.000247625
83,4481.59,0.93781,0.45576,0.90561,0.99039,0.98178,0.98896,0.74483,0.9548,0.42277,0.90179,0.00023525,0.00023525,0.00023525
84,4538.2,0.9312,0.45466,0.90728,0.99264,0.98143,0.98996,0.74592,0.95547,0.42289,0.90028,0.000222875,0.000222875,0.000222875
85,4596.03,0.92935,0.45272,0.90069,0.99306,0.97915,0.98835,0.74644,0.95562,0.42106,0.90124,0.0002105,0.0002105,0.0002105
86,4653.71,0.92449,0.45166,0.89946,0.99012,0.98359,0.99001,0.74369,0.9555,0.42086,0.90161,0.000198125,0.000198125,0.000198125
87,4709.87,0.92649,0.45078,0.89983,0.99243,0.98286,0.99129,0.74338,0.95743,0.41838,0.90348,0.00018575,0.00018575,0.00018575
88,4768.2,0.92593,0.44455,0.9004,0.99374,0.98114,0.99063,0.74575,0.95363,0.4174,0.90264,0.000173375,0.000173375,0.000173375
89,4827.92,0.93108,0.4471,0.90466,0.99428,0.97872,0.99088,0.74391,0.95326,0.41752,0.9029,0.000161,0.000161,0.000161
90,4886.32,0.91996,0.44066,0.90237,0.99343,0.98095,0.98946,0.74582,0.95069,0.41564,0.90205,0.000148625,0.000148625,0.000148625
91,4969.09,0.86551,0.4018,0.88445,0.99345,0.97997,0.99056,0.74314,0.95197,0.41634,0.90429,0.00013625,0.00013625,0.00013625
92,5025.39,0.85714,0.39592,0.88035,0.99292,0.98007,0.98983,0.74622,0.94873,0.41611,0.90326,0.000123875,0.000123875,0.000123875
93,5081.7,0.8471,0.39063,0.87855,0.99167,0.98089,0.99063,0.74627,0.94617,0.41525,0.90276,0.0001115,0.0001115,0.0001115
94,5138.11,0.85045,0.39211,0.8774,0.99286,0.97964,0.991,0.74839,0.94707,0.41475,0.90277,9.9125e-05,9.9125e-05,9.9125e-05
95,5194.71,0.84099,0.38964,0.8729,0.99537,0.97979,0.9911,0.74818,0.94486,0.41395,0.90276,8.675e-05,8.675e-05,8.675e-05
96,5251.15,0.83893,0.38698,0.87522,0.99448,0.97973,0.99111,0.74778,0.9452,0.4141,0.90268,7.4375e-05,7.4375e-05,7.4375e-05
97,5307.79,0.84137,0.38778,0.87318,0.99355,0.98088,0.99115,0.74913,0.94474,0.41191,0.90234,6.2e-05,6.2e-05,6.2e-05
98,5364.15,0.83931,0.38502,0.87509,0.99232,0.98102,0.99118,0.74962,0.94474,0.41241,0.90175,4.9625e-05,4.9625e-05,4.9625e-05
99,5420.86,0.83249,0.38363,0.87396,0.99377,0.98095,0.99113,0.75227,0.94389,0.41244,0.90127,3.725e-05,3.725e-05,3.725e-05
100,5477.86,0.82712,0.38087,0.86957,0.99336,0.9812,0.99123,0.75102,0.94183,0.41068,0.90083,2.4875e-05,2.4875e-05,2.4875e-05
