epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2995,3.28132,12.341,2.22545,0.80142,0.03093,0.21774,0.12295,2.77715,10.0938,2.09074,0.000412458,0.000412458,0.000412458
2,96.6957,3.14845,6.99627,2.20671,0.57645,0.29756,0.32275,0.17051,3.29644,4.62992,2.38287,0.000820916,0.000820916,0.000820916
3,142.502,3.22353,3.72768,2.25698,0.6364,0.49277,0.57309,0.29138,3.35344,4.67086,2.4464,0.00122112,0.00122112,0.00122112
4,213.572,3.19754,2.55207,2.2589,0.64624,0.55531,0.61311,0.35117,3.03935,4.18901,2.32276,0.00121287,0.00121287,0.00121287
5,262.54,3.09358,2.12911,2.203,0.79905,0.72787,0.80314,0.45964,2.99505,2.92376,2.24417,0.0012005,0.0012005,0.0012005
6,312.421,3.01131,1.88753,2.16816,0.76359,0.72334,0.82105,0.47491,2.92764,1.96111,2.24397,0.00118812,0.00118812,0.00118812
7,361.43,2.94204,1.75983,2.1267,0.84632,0.84634,0.91189,0.51465,2.94863,1.56666,2.20113,0.00117575,0.00117575,0.00117575
8,419.991,2.92053,1.67675,2.10846,0.84937,0.80281,0.8736,0.50913,2.80986,1.85346,2.17136,0.00116337,0.00116337,0.00116337
9,470.067,2.85114,1.60958,2.09857,0.83536,0.83524,0.89702,0.53776,2.78326,1.43819,2.13913,0.001151,0.001151,0.001151
10,521.194,2.81288,1.55255,2.06893,0.86069,0.82842,0.90991,0.5678,2.68936,1.37239,2.10812,0.00113863,0.00113863,0.00113863
11,570.627,2.765,1.50542,2.05869,0.85981,0.83058,0.92022,0.57537,2.6614,1.40042,2.07764,0.00112625,0.00112625,0.00112625
12,627.719,2.76447,1.48487,2.06546,0.89473,0.84907,0.92502,0.56197,2.74942,1.35258,2.08686,0.00111388,0.00111388,0.00111388
13,677.213,2.7101,1.45064,2.04386,0.87775,0.86968,0.93182,0.59778,2.63478,1.34111,2.04813,0.0011015,0.0011015,0.0011015
14,726.092,2.70396,1.39303,2.03623,0.9056,0.87603,0.94947,0.61825,2.55013,1.16639,2.00795,0.00108913,0.00108913,0.00108913
15,774.345,2.65286,1.34405,2.01222,0.92155,0.87721,0.95319,0.61554,2.5174,1.16287,2.00938,0.00107675,0.00107675,0.00107675
16,838.062,2.65424,1.32295,2.02056,0.88918,0.8894,0.95115,0.62025,2.52358,1.21167,2.02078,0.00106437,0.00106437,0.00106437
17,886.401,2.61859,1.29127,1.99581,0.94032,0.88414,0.95557,0.63143,2.4642,1.09616,1.9971,0.001052,0.001052,0.001052
18,934.187,2.60803,1.28254,1.99267,0.90148,0.89061,0.94901,0.6294,2.43142,1.17514,1.98513,0.00103962,0.00103962,0.00103962
19,982.384,2.57357,1.2681,1.98421,0.92655,0.90339,0.9582,0.61495,2.57132,1.11219,2.05494,0.00102725,0.00102725,0.00102725
20,1041.69,2.58601,1.26465,1.99503,0.93299,0.91848,0.97007,0.63612,2.43045,1.04779,1.98579,0.00101488,0.00101488,0.00101488
21,1090.66,2.5834,1.23751,1.99152,0.91235,0.91605,0.9684,0.6509,2.40495,1.06694,1.98882,0.0010025,0.0010025,0.0010025
22,1138.83,2.53577,1.21324,1.97554,0.93748,0.91668,0.97094,0.64592,2.44963,1.03825,1.98415,0.000990125,0.000990125,0.000990125
